RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP
1,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9001,1990,FIFU960007,            -99,            -99,      -99,1990001,1991091,1991117,1991186,1991239,1999304,1999,-99,16672,8613,8613,0,11933,0.312016368,2760,394.353607,0.516612291,3.58626819,-99,-99,-99,-99,-99,0,0,4732,4338,2366,1972,521,0,43,0,0,0,197,0,750,947,182,145,1.05352473,-99,-99,-99,-99,-99,-99,-99,-99,0,23167,23167,0,0,232353,232353,9628,3.73350358,4.01496983,7.04642534,-99.0000000,1.92874372,2.07415032,3.64021301,-99.0000000,-99.0000000,84.6311569,-99.0000000,43.7208138,3135,17.5570488,7.02796698,13.2446556,12.1053457,360.931152,4465.60107,4152.54395,1787.63000,2366.07031
2,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9101,1991,FIFU960007,            -99,            -99,      -99,1991001,1992091,1992107,1992179,1992231,2000304,2000,-99,4146,1569,1569,0,1977,0.160311192,979,139.795029,0.378391057,1.85466826,-99,-99,-99,-99,-99,0,0,4974,4333,981,3352,522,152,138,0,0,0,86,217,1335,1648,66,30,4.83170605,-99,-99,-99,-99,-99,-99,-99,-99,0,22465,22465,0,0,225300,225300,16626,0.918969631,1.05719566,4.22573280,-99.0000000,0.347785443,0.400097281,1.59923494,-99.0000000,-99.0000000,48.2074623,-99.0000000,18.2441864,3135,17.8150654,7.01913452,13.6534204,12.1053457,362.499603,4511.40234,3921.54614,2940.71387,981.094116
3,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9201,1992,FIFU960007,            -99,            -99,      -99,1992001,1993091,1993119,-99,1993182,2001304,2001,-99,28,0,0,0,0,0.00000000,0,1.00000000,0.00000000,0.244569732E-02,-99,-99,-99,-99,-99,0,0,5011,3838,9,3829,526,601,216,0,0,0,0,840,1278,2134,1,0,7.74328041,-99,-99,-99,-99,-99,-99,-99,-99,0,21976,21976,0,0,220393,220393,21444,0.572222332E-02,0.759362895E-02,3.29004216,-99.0000000,0.00000000,0.00000000,0.00000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,3135,17.9695606,7.24006796,13.7355299,12.1053467,364.177124,4893.20312,3687.30151,3678.79590,8.51052952
4,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9301,1993,FIFU960007,            -99,            -99,      -99,1993001,1994091,1994106,1994178,1994227,2002304,2002,-99,7221,1318,1318,0,1738,0.226325646,582,91.0521851,0.182550654,3.79829764,-99,-99,-99,-99,-99,0,0,5465,5132,2366,2766,506,0,0,0,0,0,140,0,899,1040,114,24,1.24386752,-99,-99,-99,-99,-99,-99,-99,-99,0,23075,23075,0,0,231428,231428,10572,1.43188536,1.48728490,3.05256867,-99.0000000,0.261336625,0.271447718,0.557131231,-99.0000000,-99.0000000,51.5816612,-99.0000000,9.41428566,3135,17.9731998,7.26044416,13.8788548,12.1053457,365.957123,5043.30371,4855.44678,2490.39526,2365.69043
5,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9401,1994,FIFU960007,            -99,            -99,      -99,1994001,1995091,1995110,1995175,1995228,2003304,2003,-99,22880,11328,11328,0,16179,0.321018249,3529,504.117126,0.495106488,4.25849581,-99,-99,-99,-99,-99,0,0,5867,5394,3245,2150,542,0,100,0,0,0,282,0,739,1024,253,193,1.14959157,-99,-99,-99,-99,-99,-99,-99,-99,0,23093,23093,0,0,231623,231623,10459,4.28838015,4.49286270,7.05167866,-99.0000000,2.12317562,2.22441459,3.49128366,-99.0000000,-99.0000000,81.1356125,-99.0000000,40.1702118,3135,17.7935734,7.11100674,14.0080814,12.1053457,367.810577,5335.40430,5092.57568,1848.85291,3244.65186
6,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9501,1995,FIFU960007,            -99,            -99,      -99,1995001,1996091,1996116,1996177,1996229,2004304,2004,-99,13161,4773,4773,0,8457,0.138828427,3438,491.144043,0.362660199,3.36768317,-99,-99,-99,-99,-99,0,0,6155,5710,2580,3130,461,101,53,0,0,0,169,19,984,1177,135,85,3.07059240,-99,-99,-99,-99,-99,-99,-99,-99,0,22941,22941,0,0,230109,230109,12052,2.46214080,2.55791807,5.10158587,-99.0000000,0.892933011,0.927668154,1.85016823,-99.0000000,-99.0000000,77.8751144,-99.0000000,28.2426033,3135,17.9848137,7.23541164,13.9990196,12.1053457,369.656006,5345.30566,5145.15869,2565.97656,2579.76538
7,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9601,1996,FIFU960007,            -99,            -99,      -99,1996001,1997091,1997122,1997186,1997244,2005304,2005,-99,18444,8370,8370,0,10716,0.362900108,2306,329.493225,0.453807622,3.89986444,-99,-99,-99,-99,-99,0,0,6555,5879,3647,2233,583,143,120,0,0,0,241,29,698,972,193,129,2.37604976,-99,-99,-99,-99,-99,-99,-99,-99,0,23151,23151,0,0,232243,232243,10109,3.14098549,3.40125108,5.05780697,-99.0000000,1.42538285,1.54349172,2.29523849,-99.0000000,-99.0000000,76.5319519,-99.0000000,34.7302895,3135,17.9599628,7.27170610,13.9194574,12.1053467,371.565826,5872.10645,5422.76953,1776.72510,3646.67969
8,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9701,1997,FIFU960007,            -99,            -99,      -99,1997001,1998091,1998114,1998178,1998226,2006304,2006,-99,14250,4424,4424,0,9103,0.121373571,3645,520.732788,0.310462564,4.20012426,-99,-99,-99,-99,-99,0,0,6561,5867,2857,3011,582,189,92,0,0,0,178,87,1026,1296,152,82,3.25039864,-99,-99,-99,-99,-99,-99,-99,-99,0,22818,22818,0,0,228847,228847,13123,2.52770114,2.70127439,4.98837233,-99.0000000,0.784716845,0.838602185,1.54862463,-99.0000000,-99.0000000,80.0585709,-99.0000000,24.8539333,3135,17.9953003,7.35875559,13.9097214,12.1053457,373.562531,5637.70215,5275.44531,2419.47729,2856.72852
9,1,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N000             ,IUAF0001,MARS9801,1998,FIFU960007,            -99,            -99,      -99,1998001,1999091,1999103,1999174,1999222,2007001,2007,-99,15233,6632,6632,0,10064,0.226335317,2930,418.611633,0.435381114,3.99323964,-99,-99,-99,-99,-99,0,0,5795,5434,3075,2359,493,44,0,0,0,0,189,7,769,967,163,117,1.84945416,-99,-99,-99,-99,-99,-99,-99,-99,0,23147,23147,0,0,232154,232154,9847,2.97960401,3.09655333,4.95326233,-99.0000000,1.29721212,1.34812760,2.15647173,-99.0000000,-99.0000000,80.5991135,-99.0000000,35.0899467,2832,17.9091034,7.32199860,13.7413063,12.0515633,374.601562,5112.50244,4919.41553,1844.16504,3075.39380
10,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9001,1990,FIFU960007,            -99,            -99,      -99,1990001,2021105,-99,-99,-99,1999304,1999,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4732,3525,0,3525,575,537,264,0,0,0,0,1020,1024,2065,0,0,9.76180267,-99,-99,-99,-99,-99,-99,-99,-99,0,22046,22046,0,0,221094,221094,20743,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
11,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9101,1991,FIFU960007,            -99,            -99,      -99,1991001,2022105,-99,-99,-99,2000304,2000,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4974,3800,0,3800,527,596,221,0,0,0,0,1024,1097,2141,0,0,9.43624783,-99,-99,-99,-99,-99,-99,-99,-99,0,21969,21969,0,0,220327,220327,21510,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
12,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9201,1992,FIFU960007,            -99,            -99,      -99,1992001,2023105,-99,-99,-99,2001304,2001,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5011,3854,0,3854,527,592,208,0,0,0,0,828,1288,2133,0,0,7.79275084,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220410,220410,21427,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
13,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9301,1993,FIFU960007,            -99,            -99,      -99,1993001,2024105,-99,-99,-99,2002304,2002,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5465,4228,0,4228,568,612,227,0,0,0,0,737,1490,2245,0,0,8.22595119,-99,-99,-99,-99,-99,-99,-99,-99,0,21865,21865,0,0,219279,219279,22558,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
14,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9401,1994,FIFU960007,            -99,            -99,      -99,1994001,2025105,-99,-99,-99,2003304,2003,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5867,4333,0,4333,614,820,269,0,0,0,0,1065,1234,2330,0,0,9.19542503,-99,-99,-99,-99,-99,-99,-99,-99,0,21780,21780,0,0,218421,218421,23415,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
15,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9501,1995,FIFU960007,            -99,            -99,      -99,1995001,2026105,-99,-99,-99,2004304,2004,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6155,4679,0,4679,515,895,236,0,0,0,0,1122,1153,2306,0,0,14.0190992,-99,-99,-99,-99,-99,-99,-99,-99,0,21804,21804,0,0,218666,218666,23171,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
16,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9601,1996,FIFU960007,            -99,            -99,      -99,1996001,2027105,-99,-99,-99,2005304,2005,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6555,4763,0,4763,650,1056,256,0,0,0,0,1559,720,2320,0,0,15.5491400,-99,-99,-99,-99,-99,-99,-99,-99,0,21790,21790,0,0,218526,218526,23310,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
17,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9701,1997,FIFU960007,            -99,            -99,      -99,1997001,2028105,-99,-99,-99,2006304,2006,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6561,4804,0,4804,644,1034,248,0,0,0,0,1527,758,2323,0,0,17.5547905,-99,-99,-99,-99,-99,-99,-99,-99,0,21787,21787,0,0,218493,218493,23344,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
18,2,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N000             ,IUAF0001,MARS9801,1998,FIFU960007,            -99,            -99,      -99,1998001,2029105,-99,-99,-99,2007001,2007,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5795,4333,0,4333,547,843,242,0,0,0,0,1326,771,2132,0,0,16.1423550,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220409,220409,21428,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
19,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9001,1990,FIFU960007,            -99,            -99,      -99,1990001,2021120,-99,-99,-99,1999304,1999,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4732,3525,0,3525,575,537,264,0,0,0,0,1020,1024,2065,0,0,9.76180267,-99,-99,-99,-99,-99,-99,-99,-99,0,22046,22046,0,0,221094,221094,20743,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
20,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9101,1991,FIFU960007,            -99,            -99,      -99,1991001,2022120,-99,-99,-99,2000304,2000,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4974,3800,0,3800,527,596,221,0,0,0,0,1024,1097,2141,0,0,9.43624783,-99,-99,-99,-99,-99,-99,-99,-99,0,21969,21969,0,0,220327,220327,21510,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
21,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9201,1992,FIFU960007,            -99,            -99,      -99,1992001,2023120,-99,-99,-99,2001304,2001,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5011,3854,0,3854,527,592,208,0,0,0,0,828,1288,2133,0,0,7.79275084,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220410,220410,21427,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
22,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9301,1993,FIFU960007,            -99,            -99,      -99,1993001,2024120,-99,-99,-99,2002304,2002,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5465,4228,0,4228,568,612,227,0,0,0,0,737,1490,2245,0,0,8.22595119,-99,-99,-99,-99,-99,-99,-99,-99,0,21865,21865,0,0,219279,219279,22558,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
23,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9401,1994,FIFU960007,            -99,            -99,      -99,1994001,2025120,-99,-99,-99,2003304,2003,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5867,4333,0,4333,614,820,269,0,0,0,0,1065,1234,2330,0,0,9.19542503,-99,-99,-99,-99,-99,-99,-99,-99,0,21780,21780,0,0,218421,218421,23415,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
24,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9501,1995,FIFU960007,            -99,            -99,      -99,1995001,2026120,-99,-99,-99,2004304,2004,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6155,4679,0,4679,515,895,236,0,0,0,0,1122,1153,2306,0,0,14.0190992,-99,-99,-99,-99,-99,-99,-99,-99,0,21804,21804,0,0,218666,218666,23171,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
25,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9601,1996,FIFU960007,            -99,            -99,      -99,1996001,2027120,-99,-99,-99,2005304,2005,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6555,4763,0,4763,650,1056,256,0,0,0,0,1559,720,2320,0,0,15.5491400,-99,-99,-99,-99,-99,-99,-99,-99,0,21790,21790,0,0,218526,218526,23310,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
26,3,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N000             ,IUAF0001,MARS9701,1997,FIFU960007,            -99,            -99,      -99,1997001,2028120,-99,-99,-99,2006304,2006,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6561,4804,0,4804,644,1034,248,0,0,0,0,1527,758,2323,0,0,17.5547905,-99,-99,-99,-99,-99,-99,-99,-99,0,21787,21787,0,0,218493,218493,23344,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
