RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP
81,9,1,0,1,MZ,MZCER048,FIFU9901,P:04_01 N046             ,IUAF0001,MARS9801,1998,FIFU960007,            -99,            -99,      -99,1998001,1999091,1999103,1999174,1999222,2007001,2007,-99,15233,6632,6632,0,10064,0.226335317,2930,418.611633,0.435381114,3.99323964,-99,-99,-99,-99,-99,0,0,5795,5434,3075,2359,493,44,0,0,0,0,189,7,769,967,163,117,1.84945416,-99,-99,-99,-99,-99,-99,-99,-99,0,23147,23147,0,0,232154,232154,9847,2.97960401,3.09655333,4.95326233,-99.0000000,1.29721212,1.34812760,2.15647173,-99.0000000,-99.0000000,80.5991135,-99.0000000,35.0899467,2832,17.9091034,7.32199860,13.7413063,12.0515633,374.601562,5112.50244,4919.41553,1844.16504,3075.39380
82,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9001,1990,FIFU960007,            -99,            -99,      -99,1990001,2021105,-99,-99,-99,1999304,1999,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4732,3525,0,3525,575,537,264,0,0,0,0,1020,1024,2065,0,0,9.76180267,-99,-99,-99,-99,-99,-99,-99,-99,0,22046,22046,0,0,221094,221094,20743,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
83,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9101,1991,FIFU960007,            -99,            -99,      -99,1991001,2022105,-99,-99,-99,2000304,2000,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4974,3800,0,3800,527,596,221,0,0,0,0,1024,1097,2141,0,0,9.43624783,-99,-99,-99,-99,-99,-99,-99,-99,0,21969,21969,0,0,220327,220327,21510,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
84,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9201,1992,FIFU960007,            -99,            -99,      -99,1992001,2023105,-99,-99,-99,2001304,2001,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5011,3854,0,3854,527,592,208,0,0,0,0,828,1288,2133,0,0,7.79275084,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220410,220410,21427,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
85,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9301,1993,FIFU960007,            -99,            -99,      -99,1993001,2024105,-99,-99,-99,2002304,2002,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5465,4228,0,4228,568,612,227,0,0,0,0,737,1490,2245,0,0,8.22595119,-99,-99,-99,-99,-99,-99,-99,-99,0,21865,21865,0,0,219279,219279,22558,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
86,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9401,1994,FIFU960007,            -99,            -99,      -99,1994001,2025105,-99,-99,-99,2003304,2003,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5867,4333,0,4333,614,820,269,0,0,0,0,1065,1234,2330,0,0,9.19542503,-99,-99,-99,-99,-99,-99,-99,-99,0,21780,21780,0,0,218421,218421,23415,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
87,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9501,1995,FIFU960007,            -99,            -99,      -99,1995001,2026105,-99,-99,-99,2004304,2004,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6155,4679,0,4679,515,895,236,0,0,0,0,1122,1153,2306,0,0,14.0190992,-99,-99,-99,-99,-99,-99,-99,-99,0,21804,21804,0,0,218666,218666,23171,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
88,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9601,1996,FIFU960007,            -99,            -99,      -99,1996001,2027105,-99,-99,-99,2005304,2005,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6555,4763,0,4763,650,1056,256,0,0,0,0,1559,720,2320,0,0,15.5491400,-99,-99,-99,-99,-99,-99,-99,-99,0,21790,21790,0,0,218526,218526,23310,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
89,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9701,1997,FIFU960007,            -99,            -99,      -99,1997001,2028105,-99,-99,-99,2006304,2006,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6561,4804,0,4804,644,1034,248,0,0,0,0,1527,758,2323,0,0,17.5547905,-99,-99,-99,-99,-99,-99,-99,-99,0,21787,21787,0,0,218493,218493,23344,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
90,10,1,0,1,MZ,MZCER048,FIFU9901,P:04_15 N046             ,IUAF0001,MARS9801,1998,FIFU960007,            -99,            -99,      -99,1998001,2029105,-99,-99,-99,2007001,2007,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5795,4333,0,4333,547,843,242,0,0,0,0,1326,771,2132,0,0,16.1423550,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220409,220409,21428,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
91,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9001,1990,FIFU960007,            -99,            -99,      -99,1990001,2021120,-99,-99,-99,1999304,1999,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4732,3525,0,3525,575,537,264,0,0,0,0,1020,1024,2065,0,0,9.76180267,-99,-99,-99,-99,-99,-99,-99,-99,0,22046,22046,0,0,221094,221094,20743,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
92,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9101,1991,FIFU960007,            -99,            -99,      -99,1991001,2022120,-99,-99,-99,2000304,2000,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4974,3800,0,3800,527,596,221,0,0,0,0,1024,1097,2141,0,0,9.43624783,-99,-99,-99,-99,-99,-99,-99,-99,0,21969,21969,0,0,220327,220327,21510,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
93,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9201,1992,FIFU960007,            -99,            -99,      -99,1992001,2023120,-99,-99,-99,2001304,2001,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5011,3854,0,3854,527,592,208,0,0,0,0,828,1288,2133,0,0,7.79275084,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220410,220410,21427,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
94,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9301,1993,FIFU960007,            -99,            -99,      -99,1993001,2024120,-99,-99,-99,2002304,2002,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5465,4228,0,4228,568,612,227,0,0,0,0,737,1490,2245,0,0,8.22595119,-99,-99,-99,-99,-99,-99,-99,-99,0,21865,21865,0,0,219279,219279,22558,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
95,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9401,1994,FIFU960007,            -99,            -99,      -99,1994001,2025120,-99,-99,-99,2003304,2003,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5867,4333,0,4333,614,820,269,0,0,0,0,1065,1234,2330,0,0,9.19542503,-99,-99,-99,-99,-99,-99,-99,-99,0,21780,21780,0,0,218421,218421,23415,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
96,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9501,1995,FIFU960007,            -99,            -99,      -99,1995001,2026120,-99,-99,-99,2004304,2004,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6155,4679,0,4679,515,895,236,0,0,0,0,1122,1153,2306,0,0,14.0190992,-99,-99,-99,-99,-99,-99,-99,-99,0,21804,21804,0,0,218666,218666,23171,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
97,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9601,1996,FIFU960007,            -99,            -99,      -99,1996001,2027120,-99,-99,-99,2005304,2005,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6555,4763,0,4763,650,1056,256,0,0,0,0,1559,720,2320,0,0,15.5491400,-99,-99,-99,-99,-99,-99,-99,-99,0,21790,21790,0,0,218526,218526,23310,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
98,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9701,1997,FIFU960007,            -99,            -99,      -99,1997001,2028120,-99,-99,-99,2006304,2006,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6561,4804,0,4804,644,1034,248,0,0,0,0,1527,758,2323,0,0,17.5547905,-99,-99,-99,-99,-99,-99,-99,-99,0,21787,21787,0,0,218493,218493,23344,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
99,11,1,0,1,MZ,MZCER048,FIFU9901,P:04_30 N046             ,IUAF0001,MARS9801,1998,FIFU960007,            -99,            -99,      -99,1998001,2029120,-99,-99,-99,2007001,2007,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5795,4333,0,4333,547,843,242,0,0,0,0,1326,771,2132,0,0,16.1423550,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220409,220409,21428,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
100,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9001,1990,FIFU960007,            -99,            -99,      -99,1990001,2021120,-99,-99,-99,1999304,1999,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4732,3525,0,3525,575,537,264,0,0,0,0,1020,1024,2065,0,0,9.76180267,-99,-99,-99,-99,-99,-99,-99,-99,0,22046,22046,0,0,221094,221094,20743,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
101,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9101,1991,FIFU960007,            -99,            -99,      -99,1991001,2022120,-99,-99,-99,2000304,2000,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,4974,3800,0,3800,527,596,221,0,0,0,0,1024,1097,2141,0,0,9.43624783,-99,-99,-99,-99,-99,-99,-99,-99,0,21969,21969,0,0,220327,220327,21510,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
102,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9201,1992,FIFU960007,            -99,            -99,      -99,1992001,2023120,-99,-99,-99,2001304,2001,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5011,3854,0,3854,527,592,208,0,0,0,0,828,1288,2133,0,0,7.79275084,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220410,220410,21427,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
103,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9301,1993,FIFU960007,            -99,            -99,      -99,1993001,2024120,-99,-99,-99,2002304,2002,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5465,4228,0,4228,568,612,227,0,0,0,0,737,1490,2245,0,0,8.22595119,-99,-99,-99,-99,-99,-99,-99,-99,0,21865,21865,0,0,219279,219279,22558,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
104,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9401,1994,FIFU960007,            -99,            -99,      -99,1994001,2025120,-99,-99,-99,2003304,2003,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5867,4333,0,4333,614,820,269,0,0,0,0,1065,1234,2330,0,0,9.19542503,-99,-99,-99,-99,-99,-99,-99,-99,0,21780,21780,0,0,218421,218421,23415,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
105,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9501,1995,FIFU960007,            -99,            -99,      -99,1995001,2026120,-99,-99,-99,2004304,2004,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6155,4679,0,4679,515,895,236,0,0,0,0,1122,1153,2306,0,0,14.0190992,-99,-99,-99,-99,-99,-99,-99,-99,0,21804,21804,0,0,218666,218666,23171,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
106,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9601,1996,FIFU960007,            -99,            -99,      -99,1996001,2027120,-99,-99,-99,2005304,2005,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6555,4763,0,4763,650,1056,256,0,0,0,0,1559,720,2320,0,0,15.5491400,-99,-99,-99,-99,-99,-99,-99,-99,0,21790,21790,0,0,218526,218526,23310,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
107,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9701,1997,FIFU960007,            -99,            -99,      -99,1997001,2028120,-99,-99,-99,2006304,2006,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,6561,4804,0,4804,644,1034,248,0,0,0,0,1527,758,2323,0,0,17.5547905,-99,-99,-99,-99,-99,-99,-99,-99,0,21787,21787,0,0,218493,218493,23344,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
108,12,1,0,1,MZ,MZCER048,FIFU9901,P:05_15 N046             ,IUAF0001,MARS9801,1998,FIFU960007,            -99,            -99,      -99,1998001,2029120,-99,-99,-99,2007001,2007,-99,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0.00000000,-99,-99,-99,-99,-99,0,0,5795,4333,0,4333,547,843,242,0,0,0,0,1326,771,2132,0,0,16.1423550,-99,-99,-99,-99,-99,-99,-99,-99,0,21978,21978,0,0,220409,220409,21428,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000,-99.0000000
